"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
312,Guadeloupe,"1,059","1,236","1,130",914,854,994,759,..,569,560,445,447,500,527,458,497,419,487,645,720,822,857,970,"1,166"
316,Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
320,Guatemala,563,520,576,636,823,826,835,884,880,"1,182","1,316","1,502","1,628","1,715","1,393","1,384","1,434","1,491","1,516","1,739","1,865","1,906","2,113","2,406"
324,Guinea,..,..,..,..,..,..,..,..,..,..,..,47,..,..,..,..,..,..,..,..,..,..,..,..
624,Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
328,Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
332,Haiti,370,400,387,393,386,445,499,482,518,385,480,558,868,758,826,793,946,959,"1,064","1,128","1,190","1,153","1,262","1,333"
340,Honduras,..,271,310,324,428,689,672,788,887,"1,026","1,118","1,136","1,309","1,561","1,589","1,965","1,852","1,903","1,857","2,082","2,093","2,228","2,303",..
344,"Hong Kong, China","10,200","12,974","11,273","10,160","11,328","13,059","13,725","16,566","15,537","21,811","23,359","25,251","28,169","29,507","29,591","36,030","41,921","48,615","54,299","60,839","59,308","56,655","58,472","65,148"
348,Hungary,"39,240","39,833","37,315","33,624","28,803","31,141","30,679","31,739","31,412","33,934","36,173","38,318","39,379","39,554","40,624","39,904","41,304","43,565","43,611","45,984","48,345","52,890","54,962","57,667"
352,Iceland,211,223,223,255,281,328,329,315,348,405,429,477,539,561,563,559,628,765,900,"1,102","1,389","1,891","2,353","2,488"
356,India,"2,143","2,308","2,395","2,382","2,508","2,677","2,591","2,428","2,774","3,512","4,038","4,626","5,244","5,373","5,295","5,881",..,..,..,..,..,..,..,..
360,Indonesia,"4,324","5,034","5,185","4,606","4,728","5,064","5,153","5,033","4,467","5,321","5,002","4,871","5,506","6,234","6,324","7,003","7,650","8,044","8,802","9,435","10,407","11,519","14,040","15,810"
364,"Iran, Islamic Republic Of",568,693,860,"1,124",..,..,..,..,..,..,..,..,"2,219","2,034","2,116","2,938","3,354","3,834","4,769","4,968","5,237","4,942","4,867","7,295"
368,Iraq,61,51,15,45,30,78,127,..,..,..,..,..,..,864,"1,262","1,518","1,510","1,111",892,..,..,..,..,..
372,Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
376,Israel,"2,530","2,360","2,295","2,200","2,566","2,672","1,219",862,..,"1,506","1,916","1,834","2,294","3,034","2,740","3,444","3,362","3,520","3,540","3,251","3,109","3,070","3,863","4,389"
380,Italy,"55,706","59,805","57,998","58,499","59,521","62,702","60,960","63,561","63,026","58,480","59,230","66,353","70,271","70,719","71,692","73,225","75,866","76,293","76,762","77,694","81,068","84,925","89,931","93,229"
388,Jamaica,"1,752","1,821","1,904","1,899","2,013","2,230","2,117","2,131","2,483","2,515","2,615","3,016","2,880","2,859","2,753","2,832","3,077","3,306","3,274","3,504","3,692","3,837","4,276","4,319"
392,Japan,"3,345","3,837","4,218","4,106","4,438","4,757","4,772","5,239","5,212","6,138","6,728","7,334","8,347","8,351","6,790","8,611","6,219","8,358","10,364","13,413","19,737","24,040","28,691","31,192"
400,Jordan,"3,277","3,164","3,068","3,438","3,231","2,700","3,034","4,677","4,600","5,587","5,817","6,573","6,529","7,100","7,085","8,078","6,813","6,314","5,389","5,327","4,809","4,236","4,565","4,922"
398,Kazakhstan,..,202,284,257,394,"1,683","2,693","3,678","3,237","4,291","4,365","4,707","5,311","4,117","3,774","4,097","5,685","6,163","6,841","6,333","6,430","6,509","7,701","8,789"
404,Kenya,974,"1,003","1,001",894,969,"1,037",994,"1,001","1,146","1,361","1,479","1,601","1,817","1,203","1,490","1,609","1,823","1,711","1,520","1,350","1,181","1,340","1,449",..
296,Kiribati,..,..,..,..,20,13,15,120,130,64,50,11,32,..,..,..,..,..,..,8,8,8,8,9
408,"Korea, Democratic People'S Republic Of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
410,"Korea, Republic Of","3,753","3,684","3,908","4,250","4,660","5,322","5,147","5,347","4,753","5,818","6,023","6,155","6,448","6,891","7,818","8,798","9,795","11,140","12,176","14,202","13,232","17,242","13,336","15,347"
414,Kuwait,"1,443","1,565","1,638","1,763","1,884","1,944","2,072","2,316","2,602","3,056","3,474","3,899","4,482","4,736","5,088","5,208","5,574","5,729","6,217","6,528","6,941","7,055","7,407","8,508"
417,Kyrgyzstan,..,..,..,290,165,173,199,183,342,398,319,766,"1,656","2,379","2,451","1,224","3,025","3,393","4,134","3,791","4,000","3,853","4,568","6,947"
418,Lao People'S Democratic Republic,346,403,463,500,614,737,674,736,636,895,"1,095","1,215","1,624","1,737","2,008","2,513","2,724","3,330","3,779","4,159","4,684","4,239","3,869","4,186"
428,Latvia,"1,633","1,750","1,842","1,788","1,738","1,882","2,061","2,297","2,524","3,127","3,791","4,649","5,209","5,496","4,727","5,042","5,538","5,569","5,822","6,246","6,842","6,797","7,726","7,775"
422,Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
426,Lesotho,209,312,313,290,308,302,295,287,329,304,304,357,300,293,344,426,398,423,433,"1,079","1,082","1,196","1,137","1,173"
430,Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
434,Libya,"1,832","1,276",913,850,965,963,953,858,958,..,..,125,106,760,..,..,..,..,..,..,..,..,..,..
438,Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
440,Lithuania,"2,600","3,497","3,702","4,287","4,454","4,092","4,195","3,999","3,635",..,..,..,"4,251","4,459","4,001","4,073","4,504","4,979","5,264","5,217","5,048","5,322","5,590","6,115"
442,Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
446,"Macao, China","7,752","8,151","7,000","6,949","7,444","9,162","10,279","11,531","11,888","16,673","18,711","21,998","27,003","22,933","21,753","24,965","28,002","28,082","29,325","31,526","30,715","30,950","32,611","35,804"
450,Madagascar,115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
454,Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
458,Malaysia,"14,885","14,084","12,591","10,886","13,910","17,213","22,995","20,756","16,293","24,432","24,209","25,298","28,325","25,321","31,509",..,..,..,..,..,..,..,..,..
462,Maldives,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
466,Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
470,Malta,"1,193","1,123","1,238","1,326","1,402","1,387","1,439","1,483","1,512","1,428","1,484","1,521","1,723","1,832","1,608","1,815","1,916","2,007","2,013","2,162","2,383","2,592","2,944","3,232"
584,Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,8,..
474,Martinique,885,885,900,964,903,816,663,654,722,630,577,599,573,568,511,553,538,603,622,696,762,842,"1,003","1,002"
478,Mauritania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
480,Mauritius,437,509,558,579,600,678,675,709,721,739,782,807,933,970,890,956,983,984,"1,015","1,065","1,174","1,307","1,371","1,431"
484,Mexico,"85,446","90,394","92,915","95,214","99,869","105,673","100,718","100,153","92,330","99,250","103,146","97,701","93,582","92,948","88,044","81,953","75,732","76,749","78,100","81,042","87,129","94,853","99,349","96,497"
583,"Micronesia, Federated States Of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
498,"Moldova, Republic Of",33,29,21,20,14,19,16,20,24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
492,Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
496,Mongolia,108,71,82,197,160,158,192,235,205,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598
499,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
500,Montserrat,19,9,6,9,13,14,16,15,14,15,13,10,9,8,7,8,7,10,9,11,13,14,18,15
504,Morocco,"2,752","2,856","3,203","3,267","4,088","4,458","4,596","4,709","5,021","5,732","6,077","6,777","7,701","8,209","8,661","9,752","9,784","9,830","10,349","10,507","10,542","10,677","11,540","12,489"
508,Mozambique,..,..,..,..,..,..,404,943,726,711,954,"1,095","1,259","1,439","1,711","1,836","2,013","2,206","1,970","1,751","1,634","1,715","1,514","2,870"
104,Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
516,Namibia,421,560,610,681,694,759,700,799,739,986,856,961,"1,048","1,079","1,100","1,114","1,163","1,245","1,327","1,429","1,488","1,551","1,581",..
520,Nauru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
524,Nepal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
528,Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
540,New Caledonia,122,138,139,127,151,161,152,158,166,177,182,219,227,256,230,282,348,390,494,529,558,625,626,576
554,New Zealand,"1,409","1,529","1,497","1,485","1,607","1,787","1,909","2,045","2,104","2,334","2,366","2,409","2,455","2,483","2,473","2,530","2,617","2,574","2,710","2,854","3,129","3,494","3,723","3,858"
558,Nicaragua,341,388,453,483,530,581,584,579,646,735,804,891,978,"1,011","1,010","1,071","1,122","1,233","1,273","1,390","1,456","1,596","1,958","1,412"
562,Niger,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
566,Nigeria,"1,031","1,230","1,292","1,357","1,425","1,492","1,753","2,046","2,253","2,646","2,778","3,056","5,239","5,820","6,053","6,113","3,765","4,673","4,038","4,803","6,017","5,265",..,..
570,Niue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..
